確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19SC,2025,21,台北市,士林區,F,0,70+,1,63000,63000110
19SC,2025,21,台北市,士林區,M,0,70+,2,63000,63000110
19SC,2025,21,台北市,大同區,M,0,60~64,1,63000,63000060
19SC,2025,21,台北市,文山區,M,0,60~64,1,63000,63000080
19SC,2025,21,台北市,文山區,M,0,60~64,1,63000,63000081
19SC,2025,21,台北市,文山區,M,0,60~64,1,63000,63000082
19SC,2025,21,台北市,萬華區,M,0,70+,1,63000,63000070
19SC,2025,21,台北市,萬華區,M,0,70+,1,63000,63000071
19SC,2025,21,台北市,萬華區,M,0,70+,1,63000,63000072
19SC,2025,21,高雄市,三民區,F,0,0,1,64000,64000050
19SC,2025,21,高雄市,三民區,F,0,0,1,64000,64000051
19SC,2025,21,高雄市,三民區,F,0,0,1,64000,64000052
19SC,2025,21,高雄市,三民區,M,0,55~59,1,64000,64000050
19SC,2025,21,高雄市,三民區,M,0,55~59,1,64000,64000051
19SC,2025,21,高雄市,三民區,M,0,55~59,1,64000,64000052
19SC,2025,21,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025,21,高雄市,三民區,M,0,70+,1,64000,64000051
19SC,2025,21,高雄市,三民區,M,0,70+,1,64000,64000052
19SC,2025,21,高雄市,前鎮區,M,0,45~49,1,64000,64000090
19SC,2025,21,高雄市,大寮區,M,0,10~14,1,64000,64000140
19SC,2025,21,高雄市,彌陀區,M,0,1,1,64000,64000280
19SC,2025,21,高雄市,田寮區,F,0,70+,1,64000,64000220
19SC,2025,21,高雄市,路竹區,M,0,65~69,1,64000,64000240
19SC,2025,21,高雄市,那瑪夏區,F,0,70+,1,64000,64000380
19SC,2025,21,高雄市,鳳山區,M,0,65~69,1,64000,64000120
19SC,2025,21,新北市,三重區,F,0,55~59,1,65000,65000020
19SC,2025,21,新北市,中和區,M,0,45~49,1,65000,65000030
19SC,2025,21,新北市,中和區,M,0,55~59,1,65000,65000030
19SC,2025,21,新北市,中和區,M,0,70+,2,65000,65000030
19SC,2025,21,新北市,新店區,F,0,70+,1,65000,65000060
19SC,2025,21,新北市,新店區,M,0,70+,1,65000,65000060
19SC,2025,21,新北市,新莊區,F,0,70+,1,65000,65000050
19SC,2025,21,新北市,新莊區,M,0,70+,1,65000,65000050
19SC,2025,21,新北市,板橋區,F,0,70+,1,65000,65000010
19SC,2025,21,台中市,北屯區,F,0,70+,2,66000,66000080
19SC,2025,21,台中市,北屯區,M,0,70+,2,66000,66000080
19SC,2025,21,台中市,外埔區,F,0,55~59,1,66000,66000210
19SC,2025,21,台中市,大安區,M,0,70+,1,66000,66000220
19SC,2025,21,台中市,大肚區,F,0,45~49,1,66000,66000240
19SC,2025,21,台中市,大肚區,M,0,70+,1,66000,66000240
19SC,2025,21,台中市,大里區,F,0,30~34,1,66000,66000280
19SC,2025,21,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2025,21,台中市,大雅區,F,0,0,1,66000,66000180
19SC,2025,21,台中市,太平區,F,0,1,1,66000,66000270
19SC,2025,21,台中市,太平區,F,0,70+,1,66000,66000270
19SC,2025,21,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2025,21,台中市,東區,M,0,70+,1,66000,66000020
19SC,2025,21,台中市,東勢區,F,0,45~49,1,66000,66000100
19SC,2025,21,台中市,東勢區,M,0,70+,1,66000,66000100
19SC,2025,21,台中市,烏日區,M,0,70+,1,66000,66000230
19SC,2025,21,台中市,石岡區,F,0,70+,1,66000,66000200
19SC,2025,21,台中市,西屯區,F,0,70+,1,66000,66000060
19SC,2025,21,台南市,七股區,M,0,70+,1,67000,67000150
19SC,2025,21,台南市,北區,M,0,60~64,2,67000,67000340
19SC,2025,21,台南市,南區,M,0,0,1,67000,67000330
19SC,2025,21,台南市,南區,M,0,60~64,1,67000,67000330
19SC,2025,21,台南市,新化區,M,0,70+,1,67000,67000180
19SC,2025,21,台南市,東區,F,0,70+,1,67000,67000320
19SC,2025,21,台南市,永康區,M,0,70+,1,67000,67000310
19SC,2025,21,桃園市,中壢區,M,0,50~54,1,68000,68000020
19SC,2025,21,桃園市,中壢區,F,0,70+,1,68000,68000020
19SC,2025,21,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025,21,桃園市,八德區,M,0,70+,1,68000,68000080
19SC,2025,21,桃園市,大園區,M,0,70+,1,68000,68000060
19SC,2025,21,桃園市,大溪區,F,0,70+,1,68000,68000030
19SC,2025,21,桃園市,平鎮區,M,0,0,1,68000,68000100
19SC,2025,21,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2025,21,桃園市,楊梅區,M,0,65~69,1,68000,68000040
19SC,2025,22,金門縣,金沙鎮,F,0,65~69,1,09020,09020020
19SC,2025,22,宜蘭縣,三星鄉,M,0,65~69,1,10002,10002100
19SC,2025,22,宜蘭縣,冬山鄉,F,0,25~29,1,10002,10002080
19SC,2025,22,宜蘭縣,宜蘭市,M,0,50~54,1,10002,10002010
19SC,2025,22,宜蘭縣,礁溪鄉,M,0,70+,1,10002,10002050
19SC,2025,22,新竹縣,尖石鄉,F,0,70+,1,10004,10004120
19SC,2025,22,苗栗縣,公館鄉,M,0,70+,1,10005,10005090
19SC,2025,22,苗栗縣,苑裡鎮,M,0,70+,1,10005,10005020
19SC,2025,22,苗栗縣,苗栗市,M,0,35~39,1,10005,10005010
19SC,2025,22,苗栗縣,苗栗市,M,0,70+,2,10005,10005010
19SC,2025,22,苗栗縣,造橋鄉,F,0,65~69,1,10005,10005150
19SC,2025,22,彰化縣,二水鄉,M,0,70+,1,10007,10007180
19SC,2025,22,彰化縣,伸港鄉,M,0,70+,1,10007,10007050
19SC,2025,22,彰化縣,北斗鎮,M,0,70+,1,10007,10007190
19SC,2025,22,彰化縣,和美鎮,F,0,70+,1,10007,10007030
19SC,2025,22,彰化縣,和美鎮,M,0,70+,1,10007,10007030
19SC,2025,22,彰化縣,員林市,F,0,70+,1,10007,10007100
19SC,2025,22,彰化縣,埤頭鄉,F,0,65~69,1,10007,10007220
19SC,2025,22,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19SC,2025,22,彰化縣,大城鄉,M,0,70+,1,10007,10007240
19SC,2025,22,彰化縣,大村鄉,M,0,70+,1,10007,10007130
19SC,2025,22,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2025,22,彰化縣,彰化市,M,0,70+,1,10007,10007010
19SC,2025,22,彰化縣,福興鄉,F,0,65~69,1,10007,10007060
19SC,2025,22,彰化縣,秀水鄉,F,0,70+,1,10007,10007070
19SC,2025,22,彰化縣,花壇鄉,F,0,70+,1,10007,10007080
19SC,2025,22,彰化縣,鹿港鎮,F,0,10~14,1,10007,10007020
19SC,2025,22,彰化縣,鹿港鎮,F,0,70+,1,10007,10007020
19SC,2025,22,南投縣,南投市,M,0,70+,1,10008,10008010
19SC,2025,22,南投縣,名間鄉,M,0,55~59,1,10008,10008060
19SC,2025,22,南投縣,埔里鎮,M,0,35~39,1,10008,10008020
19SC,2025,22,南投縣,竹山鎮,F,0,70+,1,10008,10008040
19SC,2025,22,南投縣,竹山鎮,M,0,70+,1,10008,10008040
19SC,2025,22,南投縣,集集鎮,M,0,70+,1,10008,10008050
19SC,2025,22,雲林縣,台西鄉,F,0,70+,1,10009,10009160
19SC,2025,22,雲林縣,虎尾鎮,M,0,65~69,1,10009,10009030
19SC,2025,22,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
19SC,2025,22,雲林縣,麥寮鄉,F,0,70+,1,10009,10009130
19SC,2025,22,嘉義縣,大林鎮,F,0,55~59,1,10010,10010040
19SC,2025,22,嘉義縣,東石鄉,F,0,70+,1,10010,10010090
19SC,2025,22,屏東縣,佳冬鄉,F,0,55~59,1,10013,10013210
19SC,2025,22,屏東縣,屏東市,F,0,70+,1,10013,10013010
19SC,2025,22,屏東縣,泰武鄉,M,0,70+,1,10013,10013290
19SC,2025,22,屏東縣,滿州鄉,M,0,65~69,1,10013,10013240
19SC,2025,22,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2025,22,基隆市,七堵區,F,0,70+,1,10017,10017020
19SC,2025,22,基隆市,信義區,M,0,65~69,1,10017,10017070
19SC,2025,22,基隆市,信義區,F,0,70+,1,10017,10017070
19SC,2025,22,新竹市,東區,M,0,70+,1,10018,10018010
19SC,2025,22,台北市,信義區,F,0,70+,1,63000,63000020
19SC,2025,22,台北市,信義區,M,0,70+,1,63000,63000020
19SC,2025,22,台北市,北投區,M,0,70+,2,63000,63000120
19SC,2025,22,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2025,22,高雄市,仁武區,F,0,70+,1,64000,64000170
19SC,2025,22,高雄市,前鎮區,F,0,1,1,64000,64000090
19SC,2025,22,高雄市,前鎮區,M,0,70+,1,64000,64000090
19SC,2025,22,高雄市,大寮區,F,0,60~64,1,64000,64000140
19SC,2025,22,高雄市,左營區,F,0,70+,1,64000,64000030
19SC,2025,22,高雄市,新興區,F,0,70+,1,64000,64000060
19SC,2025,22,高雄市,新興區,M,0,70+,1,64000,64000060
19SC,2025,22,高雄市,梓官區,F,0,3,1,64000,64000290
19SC,2025,22,高雄市,苓雅區,F,0,70+,2,64000,64000080
19SC,2025,22,高雄市,鳳山區,F,0,55~59,1,64000,64000120
19SC,2025,22,高雄市,鳳山區,F,0,65~69,1,64000,64000120
19SC,2025,22,高雄市,鳳山區,M,0,65~69,1,64000,64000120
19SC,2025,22,高雄市,鹽埕區,F,0,70+,1,64000,64000010
19SC,2025,22,高雄市,鼓山區,M,0,55~59,1,64000,64000020
19SC,2025,22,新北市,三峽區,F,0,70+,1,65000,65000090
19SC,2025,22,新北市,三峽區,M,0,70+,1,65000,65000090
19SC,2025,22,新北市,三芝區,M,0,70+,1,65000,65000210
19SC,2025,22,新北市,新店區,F,1,65~69,1,65000,65000060
19SC,2025,22,新北市,樹林區,M,0,70+,2,65000,65000070
19SC,2025,22,新北市,永和區,F,0,70+,1,65000,65000040
19SC,2025,22,新北市,汐止區,F,0,40~44,1,65000,65000110
19SC,2025,22,新北市,汐止區,F,0,70+,1,65000,65000110
19SC,2025,22,新北市,鶯歌區,F,0,70+,1,65000,65000080
19SC,2025,22,台中市,北區,F,0,70+,2,66000,66000050
19SC,2025,22,台中市,南區,M,0,70+,1,66000,66000030
19SC,2025,22,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2025,22,台中市,大安區,F,0,45~49,1,66000,66000220
19SC,2025,22,台中市,大肚區,M,0,70+,2,66000,66000240
19SC,2025,22,台中市,大里區,F,0,45~49,1,66000,66000280
19SC,2025,22,台中市,太平區,F,0,70+,1,66000,66000270
19SC,2025,22,台中市,新社區,M,0,70+,1,66000,66000190
19SC,2025,22,台中市,清水區,M,0,70+,2,66000,66000120
19SC,2025,22,台中市,豐原區,F,0,70+,1,66000,66000090
19SC,2025,22,台中市,豐原區,M,0,70+,2,66000,66000090
19SC,2025,22,台南市,北區,M,0,55~59,1,67000,67000340
19SC,2025,22,台南市,安南區,M,0,55~59,1,67000,67000350
19SC,2025,22,台南市,新營區,F,0,70+,1,67000,67000010
19SC,2025,22,台南市,永康區,M,0,70+,1,67000,67000310
19SC,2025,22,台南市,麻豆區,M,0,70+,1,67000,67000070
19SC,2025,22,桃園市,中壢區,F,0,5~9,1,68000,68000020
19SC,2025,22,桃園市,中壢區,M,0,60~64,1,68000,68000020
19SC,2025,22,桃園市,中壢區,F,0,70+,1,68000,68000020
19SC,2025,22,桃園市,中壢區,M,0,70+,3,68000,68000020
19SC,2025,22,桃園市,桃園區,M,0,65~69,1,68000,68000010
19SC,2025,22,桃園市,楊梅區,M,0,70+,1,68000,68000040
19SC,2025,22,桃園市,觀音區,M,0,70+,1,68000,68000120
19SC,2025,22,桃園市,龜山區,F,0,70+,1,68000,68000070
19SC,2025,23,宜蘭縣,五結鄉,M,0,70+,1,10002,10002090
19SC,2025,23,宜蘭縣,冬山鄉,F,0,65~69,1,10002,10002080
19SC,2025,23,宜蘭縣,冬山鄉,F,0,70+,1,10002,10002080
19SC,2025,23,宜蘭縣,冬山鄉,M,0,70+,1,10002,10002080
19SC,2025,23,宜蘭縣,壯圍鄉,F,0,70+,1,10002,10002060
19SC,2025,23,宜蘭縣,宜蘭市,F,0,70+,1,10002,10002010
19SC,2025,23,宜蘭縣,羅東鎮,M,0,70+,1,10002,10002020
19SC,2025,23,宜蘭縣,頭城鎮,M,0,50~54,1,10002,10002040
19SC,2025,23,新竹縣,寶山鄉,F,0,65~69,1,10004,10004100
19SC,2025,23,新竹縣,新埔鎮,F,0,70+,1,10004,10004030
19SC,2025,23,新竹縣,竹北市,F,0,70+,1,10004,10004010
19SC,2025,23,新竹縣,竹北市,M,0,70+,1,10004,10004010
19SC,2025,23,苗栗縣,苑裡鎮,M,0,70+,1,10005,10005020
19SC,2025,23,苗栗縣,苗栗市,M,0,55~59,1,10005,10005010
19SC,2025,23,苗栗縣,苗栗市,F,0,65~69,1,10005,10005010
19SC,2025,23,苗栗縣,苗栗市,M,0,70+,1,10005,10005010
19SC,2025,23,苗栗縣,西湖鄉,F,0,70+,1,10005,10005140
19SC,2025,23,彰化縣,伸港鄉,F,0,70+,1,10007,10007050
19SC,2025,23,彰化縣,員林市,M,0,50~54,1,10007,10007100
19SC,2025,23,彰化縣,彰化市,M,0,70+,1,10007,10007010
19SC,2025,23,彰化縣,田中鎮,F,0,70+,1,10007,10007120
19SC,2025,23,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2025,23,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2025,23,南投縣,南投市,M,0,70+,2,10008,10008010
19SC,2025,23,南投縣,埔里鎮,F,0,70+,1,10008,10008020
19SC,2025,23,南投縣,竹山鎮,M,0,70+,2,10008,10008040
19SC,2025,23,南投縣,草屯鎮,M,0,70+,1,10008,10008030
19SC,2025,23,雲林縣,元長鄉,F,0,70+,1,10009,10009170
19SC,2025,23,雲林縣,斗六市,M,0,65~69,1,10009,10009010
19SC,2025,23,雲林縣,褒忠鄉,F,0,65~69,1,10009,10009150
19SC,2025,23,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
19SC,2025,23,嘉義縣,中埔鄉,M,0,70+,1,10010,10010130
19SC,2025,23,嘉義縣,六腳鄉,M,0,70+,1,10010,10010080
19SC,2025,23,嘉義縣,大林鎮,M,0,50~54,1,10010,10010040
19SC,2025,23,屏東縣,內埔鄉,M,0,65~69,1,10013,10013130
19SC,2025,23,屏東縣,屏東市,F,0,65~69,1,10013,10013010
19SC,2025,23,屏東縣,屏東市,M,0,70+,1,10013,10013010
19SC,2025,23,屏東縣,恆春鎮,M,0,60~64,1,10013,10013040
19SC,2025,23,屏東縣,潮州鎮,M,0,60~64,1,10013,10013020
19SC,2025,23,屏東縣,潮州鎮,F,0,70+,2,10013,10013020
19SC,2025,23,屏東縣,高樹鄉,M,0,70+,1,10013,10013110
19SC,2025,23,台東縣,台東市,F,0,70+,2,10014,10014010
19SC,2025,23,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
19SC,2025,23,花蓮縣,吉安鄉,M,0,70+,2,10015,10015050
19SC,2025,23,花蓮縣,壽豐鄉,M,0,70+,1,10015,10015060
19SC,2025,23,花蓮縣,瑞穗鄉,M,0,50~54,1,10015,10015090
19SC,2025,23,花蓮縣,花蓮市,M,0,25~29,1,10015,10015010
19SC,2025,23,花蓮縣,花蓮市,F,0,70+,2,10015,10015010
19SC,2025,23,花蓮縣,花蓮市,M,0,70+,2,10015,10015010
19SC,2025,23,花蓮縣,鳳林鎮,F,0,70+,1,10015,10015020
19SC,2025,23,基隆市,七堵區,M,0,45~49,1,10017,10017020
19SC,2025,23,基隆市,仁愛區,M,0,70+,1,10017,10017040
19SC,2025,23,基隆市,信義區,M,0,70+,1,10017,10017070
19SC,2025,23,基隆市,安樂區,M,0,70+,1,10017,10017060
19SC,2025,23,新竹市,北區,M,0,70+,1,10018,10018020
19SC,2025,23,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2025,23,台北市,中山區,F,0,60~64,1,63000,63000040
19SC,2025,23,台北市,中正區,M,0,70+,1,63000,63000050
19SC,2025,23,台北市,內湖區,F,0,70+,1,63000,63000100
19SC,2025,23,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2025,23,台北市,北投區,F,0,40~44,1,63000,63000120
19SC,2025,23,台北市,北投區,F,0,70+,2,63000,63000120
19SC,2025,23,台北市,北投區,M,0,70+,1,63000,63000120
19SC,2025,23,台北市,南港區,M,0,65~69,1,63000,63000090
19SC,2025,23,台北市,南港區,M,0,70+,1,63000,63000090
19SC,2025,23,台北市,士林區,F,0,65~69,1,63000,63000110
19SC,2025,23,台北市,大安區,M,0,70+,1,63000,63000030
19SC,2025,23,台北市,松山區,M,0,60~64,2,63000,63000010
19SC,2025,23,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2025,23,台北市,萬華區,F,0,70+,1,63000,63000071
19SC,2025,23,台北市,萬華區,F,0,70+,1,63000,63000072
19SC,2025,23,台北市,萬華區,M,0,70+,1,63000,63000070
19SC,2025,23,台北市,萬華區,M,0,70+,1,63000,63000071
19SC,2025,23,台北市,萬華區,M,0,70+,1,63000,63000072
19SC,2025,23,高雄市,三民區,F,0,0,1,64000,64000050
19SC,2025,23,高雄市,三民區,F,0,0,1,64000,64000051
19SC,2025,23,高雄市,三民區,F,0,0,1,64000,64000052
19SC,2025,23,高雄市,三民區,M,0,70+,2,64000,64000050
19SC,2025,23,高雄市,三民區,M,0,70+,2,64000,64000051
19SC,2025,23,高雄市,三民區,M,0,70+,2,64000,64000052
19SC,2025,23,高雄市,前鎮區,M,0,70+,1,64000,64000090
19SC,2025,23,高雄市,大寮區,M,0,70+,1,64000,64000140
19SC,2025,23,高雄市,大社區,F,0,65~69,1,64000,64000160
19SC,2025,23,高雄市,小港區,M,0,25~29,1,64000,64000110
19SC,2025,23,高雄市,小港區,F,0,70+,1,64000,64000110
19SC,2025,23,高雄市,旗山區,M,0,70+,1,64000,64000300
19SC,2025,23,高雄市,林園區,M,0,70+,1,64000,64000130
19SC,2025,23,高雄市,楠梓區,M,0,70+,2,64000,64000040
19SC,2025,23,高雄市,燕巢區,F,0,70+,2,64000,64000210
19SC,2025,23,高雄市,苓雅區,M,0,35~39,1,64000,64000080
19SC,2025,23,高雄市,苓雅區,M,0,70+,1,64000,64000080
19SC,2025,23,高雄市,茄萣區,M,0,60~64,1,64000,64000260
19SC,2025,23,高雄市,茄萣區,F,0,70+,1,64000,64000260
19SC,2025,23,高雄市,鳥松區,F,0,5~9,1,64000,64000180
19SC,2025,23,高雄市,鳳山區,M,0,70+,1,64000,64000120
19SC,2025,23,新北市,三峽區,M,0,55~59,1,65000,65000090
19SC,2025,23,新北市,三峽區,F,0,70+,1,65000,65000090
19SC,2025,23,新北市,三重區,M,0,70+,1,65000,65000020
19SC,2025,23,新北市,中和區,M,0,40~44,1,65000,65000030
19SC,2025,23,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2025,23,新北市,五股區,M,0,70+,1,65000,65000150
19SC,2025,23,新北市,土城區,F,0,60~64,1,65000,65000130
19SC,2025,23,新北市,土城區,F,0,65~69,1,65000,65000130
19SC,2025,23,新北市,新店區,M,0,70+,1,65000,65000060
19SC,2025,23,新北市,新莊區,F,0,70+,2,65000,65000050
19SC,2025,23,新北市,新莊區,M,0,70+,2,65000,65000050
19SC,2025,23,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2025,23,新北市,貢寮區,F,0,60~64,1,65000,65000260
19SC,2025,23,新北市,鶯歌區,M,0,70+,1,65000,65000080
19SC,2025,23,台中市,北區,F,0,50~54,1,66000,66000050
19SC,2025,23,台中市,北區,M,0,60~64,1,66000,66000050
19SC,2025,23,台中市,北區,F,0,65~69,1,66000,66000050
19SC,2025,23,台中市,北屯區,M,0,55~59,1,66000,66000080
19SC,2025,23,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2025,23,台中市,后里區,M,0,60~64,1,66000,66000150
19SC,2025,23,台中市,大甲區,M,0,60~64,1,66000,66000110
19SC,2025,23,台中市,大肚區,F,0,70+,1,66000,66000240
19SC,2025,23,台中市,大里區,F,0,0,1,66000,66000280
19SC,2025,23,台中市,大里區,F,0,70+,3,66000,66000280
19SC,2025,23,台中市,大里區,M,0,70+,1,66000,66000280
19SC,2025,23,台中市,大雅區,M,0,70+,1,66000,66000180
19SC,2025,23,台中市,太平區,M,0,50~54,1,66000,66000270
19SC,2025,23,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2025,23,台中市,新社區,M,0,70+,2,66000,66000190
19SC,2025,23,台中市,東區,M,0,70+,1,66000,66000020
19SC,2025,23,台中市,東勢區,M,0,60~64,1,66000,66000100
19SC,2025,23,台中市,梧棲區,M,0,70+,1,66000,66000140
19SC,2025,23,台中市,沙鹿區,M,0,70+,1,66000,66000130
19SC,2025,23,台中市,潭子區,M,0,70+,1,66000,66000170
19SC,2025,23,台中市,烏日區,F,0,60~64,1,66000,66000230
19SC,2025,23,台中市,烏日區,M,0,70+,1,66000,66000230
19SC,2025,23,台中市,石岡區,F,0,70+,1,66000,66000200
19SC,2025,23,台中市,石岡區,M,0,70+,1,66000,66000200
19SC,2025,23,台中市,神岡區,F,0,70+,1,66000,66000160
19SC,2025,23,台中市,西區,M,0,1,1,66000,66000040
19SC,2025,23,台中市,西區,F,0,60~64,1,66000,66000040
19SC,2025,23,台中市,西屯區,F,0,70+,1,66000,66000060
19SC,2025,23,台中市,豐原區,F,0,70+,1,66000,66000090
19SC,2025,23,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2025,23,台南市,中西區,M,0,70+,1,67000,67000370
19SC,2025,23,台南市,北區,F,0,60~64,1,67000,67000340
19SC,2025,23,台南市,南區,M,0,55~59,1,67000,67000330
19SC,2025,23,台南市,安南區,F,0,70+,1,67000,67000350
19SC,2025,23,台南市,左鎮區,M,0,70+,1,67000,67000260
19SC,2025,23,台南市,東區,F,0,70+,2,67000,67000320
19SC,2025,23,台南市,東山區,M,0,70+,1,67000,67000060
19SC,2025,23,台南市,麻豆區,M,1,50~54,1,67000,67000070
19SC,2025,23,台南市,龍崎區,F,0,60~64,1,67000,67000300
19SC,2025,23,桃園市,中壢區,M,0,55~59,1,68000,68000020
19SC,2025,23,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025,23,桃園市,八德區,M,0,60~64,1,68000,68000080
19SC,2025,23,桃園市,八德區,M,0,70+,1,68000,68000080
19SC,2025,23,桃園市,大溪區,F,0,45~49,1,68000,68000030
19SC,2025,23,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2025,23,桃園市,平鎮區,M,0,70+,2,68000,68000100
19SC,2025,23,桃園市,桃園區,M,0,65~69,1,68000,68000010
19SC,2025,23,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2025,23,桃園市,楊梅區,M,0,65~69,1,68000,68000040
19SC,2025,23,桃園市,楊梅區,M,0,70+,1,68000,68000040
19SC,2025,23,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19SC,2025,23,桃園市,龜山區,M,0,65~69,1,68000,68000070
19SC,2025,24,金門縣,金湖鎮,F,0,70+,1,09020,09020030
19SC,2025,24,宜蘭縣,冬山鄉,F,0,70+,1,10002,10002080
19SC,2025,24,宜蘭縣,員山鄉,F,0,70+,1,10002,10002070
19SC,2025,24,宜蘭縣,礁溪鄉,F,0,70+,1,10002,10002050
19SC,2025,24,宜蘭縣,蘇澳鎮,F,0,70+,2,10002,10002030
19SC,2025,24,宜蘭縣,蘇澳鎮,M,0,70+,1,10002,10002030
19SC,2025,24,宜蘭縣,頭城鎮,M,0,70+,1,10002,10002040
19SC,2025,24,新竹縣,湖口鄉,M,0,55~59,1,10004,10004050
19SC,2025,24,新竹縣,湖口鄉,F,0,70+,1,10004,10004050
19SC,2025,24,新竹縣,竹東鎮,F,0,70+,2,10004,10004020
19SC,2025,24,新竹縣,竹東鎮,M,0,70+,1,10004,10004020
19SC,2025,24,苗栗縣,公館鄉,F,0,70+,1,10005,10005090
19SC,2025,24,苗栗縣,後龍鎮,M,0,65~69,1,10005,10005060
19SC,2025,24,苗栗縣,後龍鎮,F,0,70+,1,10005,10005060
19SC,2025,24,苗栗縣,泰安鄉,M,0,70+,1,10005,10005180
19SC,2025,24,苗栗縣,竹南鎮,F,0,70+,1,10005,10005040
19SC,2025,24,苗栗縣,苗栗市,M,0,70+,1,10005,10005010
19SC,2025,24,彰化縣,伸港鄉,M,0,70+,1,10007,10007050
19SC,2025,24,彰化縣,北斗鎮,F,0,70+,1,10007,10007190
19SC,2025,24,彰化縣,員林市,M,0,1,1,10007,10007100
19SC,2025,24,彰化縣,埔心鄉,F,0,70+,1,10007,10007150
19SC,2025,24,彰化縣,埤頭鄉,F,0,70+,1,10007,10007220
19SC,2025,24,彰化縣,彰化市,F,0,55~59,1,10007,10007010
19SC,2025,24,彰化縣,彰化市,M,0,65~69,1,10007,10007010
19SC,2025,24,彰化縣,溪湖鎮,M,0,70+,1,10007,10007110
19SC,2025,24,彰化縣,田尾鄉,M,0,70+,1,10007,10007210
19SC,2025,24,彰化縣,花壇鄉,F,0,70+,1,10007,10007080
19SC,2025,24,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2025,24,南投縣,信義鄉,M,0,70+,1,10008,10008120
19SC,2025,24,南投縣,南投市,M,0,70+,1,10008,10008010
19SC,2025,24,南投縣,名間鄉,F,0,70+,1,10008,10008060
19SC,2025,24,南投縣,埔里鎮,F,0,70+,1,10008,10008020
19SC,2025,24,南投縣,埔里鎮,M,0,70+,1,10008,10008020
19SC,2025,24,南投縣,竹山鎮,F,0,70+,1,10008,10008040
19SC,2025,24,南投縣,草屯鎮,M,0,50~54,1,10008,10008030
19SC,2025,24,南投縣,草屯鎮,M,0,70+,1,10008,10008030
19SC,2025,24,南投縣,集集鎮,F,0,60~64,1,10008,10008050
19SC,2025,24,雲林縣,斗六市,F,0,70+,1,10009,10009010
19SC,2025,24,雲林縣,林內鄉,M,0,70+,1,10009,10009100
19SC,2025,24,雲林縣,麥寮鄉,M,0,65~69,1,10009,10009130
19SC,2025,24,嘉義縣,中埔鄉,M,0,70+,1,10010,10010130
19SC,2025,24,嘉義縣,大林鎮,M,0,60~64,1,10010,10010040
19SC,2025,24,嘉義縣,布袋鎮,F,0,70+,1,10010,10010030
19SC,2025,24,嘉義縣,東石鄉,M,0,55~59,1,10010,10010090
19SC,2025,24,嘉義縣,竹崎鄉,M,0,60~64,2,10010,10010140
19SC,2025,24,屏東縣,內埔鄉,M,0,70+,1,10013,10013130
19SC,2025,24,屏東縣,屏東市,M,0,60~64,1,10013,10013010
19SC,2025,24,屏東縣,屏東市,F,0,70+,1,10013,10013010
19SC,2025,24,屏東縣,屏東市,M,0,70+,1,10013,10013010
19SC,2025,24,屏東縣,東港鎮,M,0,70+,1,10013,10013030
19SC,2025,24,屏東縣,潮州鎮,M,0,70+,1,10013,10013020
19SC,2025,24,屏東縣,牡丹鄉,M,0,70+,1,10013,10013330
19SC,2025,24,屏東縣,瑪家鄉,M,0,55~59,1,10013,10013280
19SC,2025,24,屏東縣,萬丹鄉,M,0,40~44,1,10013,10013050
19SC,2025,24,屏東縣,萬丹鄉,F,0,70+,1,10013,10013050
19SC,2025,24,屏東縣,長治鄉,F,0,70+,1,10013,10013060
19SC,2025,24,台東縣,台東市,F,0,70+,2,10014,10014010
19SC,2025,24,台東縣,成功鎮,F,0,70+,1,10014,10014020
19SC,2025,24,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
